site_no,dec_lat_va,dec_long_va,ppt_m01_mm,ppt_m02_mm,ppt_m03_mm,ppt_m04_mm,ppt_m05_mm,ppt_m06_mm,ppt_m07_mm,ppt_m08_mm,ppt_m09_mm,ppt_m10_mm,ppt_m11_mm,ppt_m12_mm,ppt_ann_mm,tmean_m01_c,tmean_m02_c,tmean_m03_c,tmean_m04_c,tmean_m05_c,tmean_m06_c,tmean_m07_c,tmean_m08_c,tmean_m09_c,tmean_m10_c,tmean_m11_c,tmean_m12_c,tmean_ann_C
06869500,39.0037861,-97.8733944,18.444299697875977,27.077499389648438,45.57830047607422,65.44020080566406,122.33419799804688,101.14399719238281,107.0541000366211,99.85089874267578,67.7094955444336,57.6702995300293,30.59589958190918,26.590898513793945,769.49169921875,-0.863599956035614,1.2918000221252441,7.045599937438965,12.417299270629883,18.25349998474121,24.4429988861084,27.239099502563477,25.941598892211914,21.26529884338379,14.101900100708008,6.562999725341797,0.5990999937057495,13.1899995803833
06869950,38.8444476,-97.6683699,20.073999404907227,28.60059928894043,50.91939926147461,68.94390106201172,127.1272964477539,100.71489715576172,99.87439727783203,94.64350128173828,69.14540100097656,59.001399993896484,34.783199310302734,29.831998825073242,783.6614990234375,-0.7468999624252319,1.4907000064849854,7.212800025939941,12.534899711608887,18.408199310302734,24.63479995727539,27.374698638916016,26.118799209594727,21.397199630737305,14.278599739074707,6.759799957275391,0.7770000100135803,13.34999942779541
06870300,38.62726389,-97.4275583,20.53820037841797,30.86949920654297,54.20209884643555,74.41999816894531,126.3075942993164,108.7667007446289,110.35369873046875,99.50460052490234,74.85489654541016,60.96500015258789,37.339599609375,31.26729965209961,829.3905029296875,-0.8154999613761902,1.3427000045776367,7.115999698638916,12.472000122070312,18.342100143432617,24.34109878540039,27.029499053955078,25.850500106811523,21.193199157714844,14.15939998626709,6.727200031280518,0.7687000036239624,13.210000038146973
06871000,39.67284444,-99.3092389,13.516200065612793,18.972000122070312,35.45989990234375,58.71739959716797,103.56859588623047,81.4574966430664,100.08529663085938,85.0634994506836,50.70479965209961,48.990299224853516,24.367300033569336,20.47949981689453,641.38409423828125,-2.1726999282836914,-0.3342999815940857,5.465699672698975,10.819799423217773,16.739198684692383,23.113800048828125,26.092498779296875,24.642398834228516,19.860599517822266,12.236099243164062,4.859699726104736,-0.8508999943733215,11.710000038146973
06871500,39.56028889,-99.2855722,14.247499465942383,18.921600341796875,34.61000061035156,55.616600036621094,100.2061996459961,85.46289825439453,104.22329711914062,85.32869720458984,51.94960021972656,45.66529846191406,25.41819953918457,21.894498825073242,643.54608154296875,-1.904099941253662,-0.13249999284744263,5.547299861907959,10.885899543762207,16.75510025024414,23.111099243164062,26.10809898376465,24.684499740600586,19.950698852539062,12.389899253845215,5.047499656677246,-0.6766999959945679,11.809999465942383
06871800,39.6600106,-99.115644,13.375800132751465,19.988100051879883,36.35210037231445,57.37799835205078,104.71409606933594,81.57579803466797,101.30130004882812,89.76319885253906,52.79520034790039,46.946998596191406,26.30270004272461,21.90880012512207,652.40325927734375,-2.3020999431610107,-0.4479999840259552,5.4091997146606445,10.79640007019043,16.679899215698242,22.985198974609375,25.991600036621094,24.498998641967773,19.710399627685547,12.067099571228027,4.7769999504089355,-0.9027000069618225,11.609999656677246
06873000,39.37667456,-99.5801096,14.421099662780762,18.068099975585938,33.10390090942383,53.772098541259766,97.21820068359375,81.65889739990234,100.48400115966797,86.0822982788086,50.99359893798828,43.605899810791016,23.59000015258789,20.50309944152832,623.5025634765625,-1.7645999193191528,-0.051899999380111694,5.6103997230529785,10.935999870300293,16.79439926147461,23.117799758911133,26.13990020751953,24.699199676513672,20.01059913635254,12.446499824523926,5.139999866485596,-0.5518999695777893,11.880000114440918
06873500,39.4543049,-98.9483529,15.526999473571777,18.973600387573242,37.97809982299805,57.36009979248047,102.5032958984375,93.5562973022461,111.30879974365234,91.992095947265625,53.86269760131836,47.607200622558594,29.253599166870117,23.614198684692383,683.53857421875,-2.106299877166748,-0.2035999894142151,5.598399639129639,11.046599388122559,16.908599853515625,23.23029899597168,26.254098892211914,24.78499984741211,20.06559944152832,12.566999435424805,5.015999794006348,-0.7330999970436096,11.86989974975586
06874500,39.69763936,-98.3396066,16.490699768066406,18.575599670410156,36.89529800415039,60.27470016479492,104.81749725341797,99.0303955078125,110.6189956665039,87.11940002441406,58.08219909667969,47.7775993347168,30.039899826049805,23.824899673461914,693.54888916015625,-2.59879994392395,-0.3944999873638153,5.405200004577637,11.009499549865723,16.856698989868164,22.992599487304688,25.803199768066406,24.400299072265625,19.768798828125,12.575699806213379,4.99429988861084,-0.9462999701499939,11.65999984741211
06875800,39.53834376,-98.3164447,16.429399490356445,19.528499603271484,35.942100524902344,58.15679931640625,103.8855972290039,96.278900146484375,107.55719757080078,82.33760070800781,58.68560028076172,48.338600158691406,30.576499938964844,24.9242000579834,682.642578125,-2.17330002784729,-0.07079999893903732,5.7332000732421875,11.26669979095459,17.108699798583984,23.309499740600586,26.255298614501953,24.840099334716797,20.219200134277344,12.909299850463867,5.35890007019043,-0.5728999972343445,12.019999504089355
