NA_L3CODE,NA_L3NAME,prism_ppt_seasonal_sd_mm
9.4.3,Southwestern Tablelands,66.7411117553711
9.4.3,Southwestern Tablelands,54.36109924316406
9.4.3,Southwestern Tablelands,45.95618438720703
9.4.3,Southwestern Tablelands,55.21985626220703
9.4.3,Southwestern Tablelands,66.74644470214844
9.4.3,Southwestern Tablelands,48.56978225708008
9.4.3,Southwestern Tablelands,52.96902084350586
9.4.3,Southwestern Tablelands,78.33663177490234
9.4.3,Southwestern Tablelands,66.21368408203125
9.4.3,Southwestern Tablelands,61.95120620727539
9.4.3,Southwestern Tablelands,47.79959487915039
9.4.3,Southwestern Tablelands,50.3444938659668
9.4.3,Southwestern Tablelands,64.50151062011719
9.4.3,Southwestern Tablelands,62.60057830810547
9.4.3,Southwestern Tablelands,87.23143768310547
9.4.3,Southwestern Tablelands,46.68916320800781
9.4.3,Southwestern Tablelands,56.46940612792969
9.4.3,Southwestern Tablelands,73.2171401977539
9.4.3,Southwestern Tablelands,46.74034881591797
9.4.3,Southwestern Tablelands,48.79505920410156
9.4.3,Southwestern Tablelands,76.05870819091797
9.4.3,Southwestern Tablelands,87.0220718383789
9.4.3,Southwestern Tablelands,83.49694061279297
9.4.3,Southwestern Tablelands,49.623661041259766
9.4.3,Southwestern Tablelands,76.81591033935547
9.4.3,Southwestern Tablelands,47.67169952392578
9.4.3,Southwestern Tablelands,55.36088943481445
9.4.3,Southwestern Tablelands,59.04305648803711
9.4.3,Southwestern Tablelands,86.79643249511719
9.4.3,Southwestern Tablelands,47.04935836791992
9.4.3,Southwestern Tablelands,53.32062530517578
9.4.3,Southwestern Tablelands,53.802459716796875
9.4.3,Southwestern Tablelands,84.33732604980469
9.4.3,Southwestern Tablelands,53.2343864440918
9.4.3,Southwestern Tablelands,48.17863082885742
9.4.3,Southwestern Tablelands,53.0031852722168
9.4.3,Southwestern Tablelands,71.9505615234375
9.4.3,Southwestern Tablelands,81.69255065917969
9.4.3,Southwestern Tablelands,68.3482666015625
9.4.3,Southwestern Tablelands,73.95075988769531
9.4.3,Southwestern Tablelands,54.538421630859375
9.4.3,Southwestern Tablelands,46.55915069580078
9.4.4,Flint Hills,107.85990905761719
9.4.5,Cross Timbers,79.76544952392578
9.4.5,Cross Timbers,46.95166015625
9.4.5,Cross Timbers,41.07951736450195
9.4.5,Cross Timbers,44.05250549316406
9.4.5,Cross Timbers,50.550785064697266
9.4.5,Cross Timbers,69.33275604248047
9.4.5,Cross Timbers,59.715675354003906
9.4.5,Cross Timbers,45.17620086669922
9.4.5,Cross Timbers,61.57014083862305
9.4.6,Edwards Plateau,40.079200744628906
9.4.6,Edwards Plateau,44.27165985107422
9.4.6,Edwards Plateau,46.533935546875
9.4.6,Edwards Plateau,41.27627182006836
9.4.6,Edwards Plateau,45.667659759521484
9.4.7,Texas Blackland Prairies,41.9011344909668
9.4.7,Texas Blackland Prairies,42.57728958129883
9.4.7,Texas Blackland Prairies,38.27629852294922
9.4.7,Texas Blackland Prairies,36.09927749633789
9.6.1,Southern Texas Plains/Interior Plains and Hills with Xerophytic Shrub and Oak Forest,44.1890869140625
9.6.1,Southern Texas Plains/Interior Plains and Hills with Xerophytic Shrub and Oak Forest,44.37678527832031
9.6.1,Southern Texas Plains/Interior Plains and Hills with Xerophytic Shrub and Oak Forest,50.070098876953125
9.6.1,Southern Texas Plains/Interior Plains and Hills with Xerophytic Shrub and Oak Forest,48.3342170715332
